dp-problem,summary,tags,,,,,,,,
,,,,,,,,,,
Length of longest Palindromic Subsequence of even length with no two adjacent characters same,"Given a string str, the task is to find the length of the longest palindromic subsequence of even length with no two adjacent characters same","['Arrays', 'Backtracking', 'Data Structures', 'Dynamic Programming', 'Strings', 'Technical Scripter 2019']",,,,,,,,
,,,,,,,,,,
Eggs dropping puzzle | Set 2,"Given N eggs and K floors, the task is to find the minimum number of trials needed in the worst case to find the floor","['Arrays', 'Dynamic Programming', 'Misc', 'Puzzles']",,,,,,,,
,,,,,,,,,,
Shortest path with exactly k edges in a directed and weighted graph | Set 2,"Given a directed weighted graph and two vertices S and D in it, the task is to find the shortest path from S to D","['Algorithms', 'Dynamic Programming', 'Graph', 'ACM-ICPC']",,,,,,,,
,,,,,,,,,,
Maximum length of Strictly Increasing Sub-array after removing at most one element,"Given an array arr[], the task is to remove at most one element and calculate the maximum length of strictly increasing subarray. Examples: Input: arr[]","['Arrays', 'Dynamic Programming', 'subarray']",,,,,,,,
,,,,,,,,,,
Path with smallest product of edges with weight > 0,"Given a directed graph with N nodes and E edges where the weight of each edge is > 0, also given a source S and","['Algorithms', 'Data Structures', 'Dynamic Programming', 'bellman-ford']",,,,,,,,
,,,,,,,,,,
Maximum sum path in a Matrix,"Given an n*m matrix, the task is to find the maximum sum of elements of cell starting from the cell (0, 0) to cell (n-1,","['Algorithms', 'Data Structures', 'Dynamic Programming', 'Matrix', 'Recursion']",,,,,,,,
,,,,,,,,,,
Count number of ways to cover a distance | Set 2,"Given a distance N. The task is to count the total number of ways to cover the distance with 1, 2 and 3 steps. Examples:","['Dynamic Programming', 'Mathematical']",,,,,,,,
,,,,,,,,,,
Number of square matrices with all 1s,"Given an N*M matrix containing only 0s and 1s, the task is to count the number of square submatrices containing all 1s. Examples: Input: arr[][]","['Dynamic Programming', 'Matrix']",,,,,,,,
,,,,,,,,,,
Count number of increasing sub-sequences : O(NlogN),"Given an array arr[] of length N, the task is to find the number of strictly increasing sub-sequences in the given array. Examples: Input: arr[]","['Advanced Data Structure', 'Arrays', 'Dynamic Programming', 'Segment-Tree', 'subsequence']",,,,,,,,
,,,,,,,,,,
Median of sliding window in an array,"Given an array of integer arr[] and an integer k, the task is to find the median of each window of size k starting from","['Arrays', 'Binary Search Tree', 'Dynamic Programming', 'Java Programs', 'Sorting', 'median-finding', 'sliding-window']",,,,,,,,
,,,,,,,,,,
Find Maximum Length Of A Square Submatrix Having Sum Of Elements At-Most K,Given a N x M matrix where N is the number of rows and M is the number of columns in the given matrix and,"['Arrays', 'Competitive Programming', 'Dynamic Programming', 'Matrix', 'submatrix']",,,,,,,,
,,,,,,,,,,
Minimum cost to build N blocks from one block,"Given a number N, the task is to build N blocks from 1 block by performing following operation: Double the number of blocks present in","['Dynamic Programming', 'Technical Scripter']",,,,,,,,
,,,,,,,,,,
"Sum of all numbers formed having 4 atmost X times, 5 atmost Y times and 6 atmost Z times","Given three integers X, Y and Z, the task is to find the sum of all the numbers formed having 4 atmost X times, 5","['Dynamic Programming', 'Mathematical', 'number-theory']",,,,,,,,
,,,,,,,,,,
Size of the largest divisible subset in an Array,Given an array arr[] of size N. The task is to find the size of the set of numbers from the given array such that,"['Arrays', 'Dynamic Programming', 'number-theory', 'subset']",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
